

2066 n rank 2, n<29264
TT. test: r(  3172) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 793
TT. test: r(  3177) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 353
TT. test: r(  3185) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 65
TT. test: r(  3265) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3265
TT. test: r(  3281) = 2 cntrs(a= 320, b= 160) (a/b)= 2 core= 3281
TT. test: r(  3289) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3289
TT. test: r(  3290) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 3290
TT. test: r(  3321) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(  3339) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 371
TT. test: r(  3355) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3355
TT. test: r(  3360) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 210
TT. test: r(  3379) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3379
TT. test: r(  3400) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(  3409) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3409
TT. test: r(  3425) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 137
TT. test: r(  3433) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3433
TT. test: r(  3434) = 2 cntrs(a= 144, b= 72) (a/b)= 2 core= 3434
TT. test: r(  3435) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3435
TT. test: r(  3443) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3443
TT. test: r(  3450) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 138
TT. test: r(  3458) = 2 cntrs(a= 80, b= 40) (a/b)= 2 core= 3458
TT. test: r(  3464) = 2 cntrs(a= 88, b= 44) (a/b)= 2 core= 866
TT. test: r(  3474) = 2 cntrs(a= 40, b= 20) (a/b)= 2 core= 386
TT. test: r(  3504) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 219
TT. test: r(  3554) = 2 cntrs(a= 144, b= 72) (a/b)= 2 core= 3554
TT. test: r(  3555) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 395
TT. test: r(  3556) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 889
TT. test: r(  3560) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 890
TT. test: r(  3570) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 3570
TT. test: r(  3593) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 3593
TT. test: r(  3594) = 2 cntrs(a= 112, b= 56) (a/b)= 2 core= 3594
TT. test: r(  3595) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3595
TT. test: r(  3601) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 3601
TT. test: r(  3603) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3603
TT. test: r(  3616) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 226
TT. test: r(  3620) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 905
TT. test: r(  3625) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 145
TT. test: r(  3634) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 3634
TT. test: r(  3660) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 915
TT. test: r(  3674) = 2 cntrs(a= 176, b= 88) (a/b)= 2 core= 3674
TT. test: r(  3690) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 410
TT. test: r(  3705) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 3705
TT. test: r(  3713) = 2 cntrs(a= 256, b= 128) (a/b)= 2 core= 3713
TT. test: r(  3746) = 2 cntrs(a= 152, b= 76) (a/b)= 2 core= 3746
TT. test: r(  3761) = 2 cntrs(a= 320, b= 160) (a/b)= 2 core= 3761
TT. test: r(  3778) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 3778
TT. test: r(  3794) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 3794
TT. test: r(  3834) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 426
TT. test: r(  3841) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3841
TT. test: r(  3842) = 2 cntrs(a= 80, b= 40) (a/b)= 2 core= 3842
TT. test: r(  3850) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 154
TT. test: r(  3865) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3865
TT. test: r(  3881) = 2 cntrs(a= 288, b= 144) (a/b)= 2 core= 3881
TT. test: r(  3882) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 3882
TT. test: r(  3899) = 2 cntrs(a= 288, b= 144) (a/b)= 2 core= 3899
TT. test: r(  3906) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 434
TT. test: r(  3930) = 2 cntrs(a= 80, b= 40) (a/b)= 2 core= 3930
TT. test: r(  3939) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 3939
TT. test: r(  3940) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 985
TT. test: r(  3948) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 987
TT. test: r(  3978) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 442
TT. test: r(  3980) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 995
TT. test: r(  3985) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 3985
TT. test: r(  4002) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 4002
TT. test: r(  4010) = 2 cntrs(a= 144, b= 72) (a/b)= 2 core= 4010
TT. test: r(  4012) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 1003
TT. test: r(  4017) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 4017
TT. test: r(  4025) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 161
TT. test: r(  4033) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 4033
TT. test: r(  4100) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(  4112) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 257
TT. test: r(  4113) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 457
